"","name","r1","r2","r3","r4","r5","r6","rank"
"80","Tentacruel",4.90399760868589e-20,1.16999962715468e-16,2.55854337064494e-12,0.0286382900111273,0.122287643834335,0.849074066151979,6
"81","Geodude",0.997255675368667,9.155945586901e-12,1.51373814144553e-19,0.00274432390975473,7.09680501080954e-13,7.11712919760402e-10,1
"82","Graveler",0.933569907560053,9.82995839878872e-15,5.60060670364171e-05,0.0663704562764366,2.04952400528738e-08,3.60960122413374e-06,1
"83","Golem",0.000697017246780311,4.26431223075487e-25,8.77876630555736e-09,0.988411827894535,4.95651006163068e-07,0.0108906504289125,4
"84","Ponyta",0.00050311246043564,0.974717624217455,0.00117349938340594,0.0225154398672696,2.40409900104184e-05,0.00106628308142373,2
"85","Rapidash",8.1873682293951e-10,2.99389135444366e-07,0.906305047537823,0.00208150251681181,0.075116551414696,0.0164965983227971,3
"86","Slowpoke",0.870978916667474,0.0120578824100611,2.89167317140935e-21,0.116872699141822,8.96711908882789e-05,8.3058975403364e-07,1
"87","Slowbro",1.83631301205093e-10,1.29767792148658e-19,3.12596541285817e-25,0.960661067774291,0.0144198192017227,0.0249191128403548,4
"88","SlowbroMega Slowbro",6.2494075853977e-17,7.27657589397658e-74,6.86882758551701e-32,0.99966840924607,1.18383432309369e-27,0.000331590753929912,4
"89","Magnemite",0.00118981897159909,0.000885682537064946,1.21586188413124e-33,0.997904945439975,9.21220317112594e-13,1.95530504399083e-05,4
"90","Magneton",1.15150497705445e-09,5.517868223035e-14,0.0018310458407509,0.943889832813727,0.00095363320932215,0.0533254869846393,4
"91","Farfetch'd",0.000884973786843783,0.99736399863864,0.000176007865138346,0.00157102157786434,1.61661632349929e-07,3.83646988079528e-06,2
"92","Doduo",0.990329019348712,0.0048046057719496,3.20803561544054e-23,0.00486634666159121,4.40093692958715e-14,2.82177033639789e-08,1
"93","Dodrio",0.000318828260804825,0.00067815640661537,0.975481288641578,0.0118688567491859,0.00861084156742681,0.00304202837438916,3
"94","Seel",0.0013226259647183,0.793786886948817,0.194147783542676,0.0106754121424335,5.4098754562515e-06,6.18815258990787e-05,2
"95","Dewgong",8.97335502749605e-12,2.10176153378806e-10,2.88675180906352e-19,0.0233941771454533,0.947246242353734,0.0293595802816635,5
"96","Grimer",0.475152271168911,0.451589618808799,3.46712319159262e-09,0.0731926781711964,5.60815476053696e-05,9.34683636533528e-06,1
"97","Muk",2.34514352832067e-13,4.98517171770429e-14,4.7425714539715e-44,0.207226908357979,0.629161173228224,0.163611918413513,5
"98","Shellder",0.992453641921102,1.77717898109275e-11,3.5210395017491e-33,0.00754635788350373,8.03992355406122e-16,1.77621250562181e-10,1
"99","Cloyster",0.000324689673719686,1.69797958126863e-60,1.89324237906207e-11,0.999674020443816,2.06032907114665e-31,1.28986353168215e-06,4
"100","Gastly",0.00221320872848005,9.7406052883936e-07,4.26988704240543e-29,0.997785318903318,6.08396169194414e-19,4.98307673030822e-07,4
"101","Haunter",7.46388407985621e-07,6.7836012540696e-06,2.0243511473131e-07,0.996000863851371,2.52894932879551e-08,0.00399137843435941,4
"102","Gengar",1.21933430002503e-14,4.08475020113034e-13,0.889296445234912,0.0163361062572155,0.00344107332533712,0.0909263751821148,3
"103","GengarMega Gengar",1.5343952560044e-30,1.60350941037354e-36,3.24833676389145e-05,0.000172452273350204,0.00067996684063402,0.999115097518377,6
"104","Onix",0.882153072070146,1.29280490267509e-41,5.88981384055216e-25,0.117846754215298,4.82297756663406e-28,1.73714556418531e-07,1
"105","Drowzee",4.53724224124298e-06,0.00882430572503265,0.789793712686176,0.193879523903569,2.32523562251407e-06,0.00749559520735849,3
"106","Hypno",4.94635189093089e-17,1.52641862955206e-14,6.61890498150795e-16,0.0934874421224469,0.632111066301835,0.274401491575702,5
"107","Krabby",0.989329694685166,9.73721311909277e-12,4.82599779638833e-33,0.0106703023324666,4.89961196201267e-14,2.9725817065014e-09,1
"108","Kingler",0.193845406331552,2.09018384585869e-17,0.00245478383625814,0.798880051794325,9.05206740873257e-07,0.00481885283112343,4
"109","Voltorb",0.0112632845229044,0.98336453262549,4.35939992804753e-14,0.00536340651680911,1.88047512869785e-12,8.77633287220232e-06,2
"110","Electrode",1.68000702044674e-10,9.59551126813666e-06,0.983369109008356,0.000410854972512547,0.000323467213203249,0.0158869731266593,3
"111","Exeggcute",0.901308805399407,0.0188794833574868,0.00513033707471754,0.0746765581131003,2.53244885334635e-06,2.28360643501997e-06,1
"112","Exeggutor",5.46571894285935e-13,6.56083452411478e-18,4.45805454218965e-26,0.112513853129498,0.880263603986533,0.00722254288342311,5
"113","Cubone",0.983693701112846,4.23891775352656e-06,1.01263406482502e-06,0.0162998682703187,3.04987594993653e-08,1.14856625746459e-06,1
"114","Marowak",4.73695010150708e-05,5.78867484713168e-13,0.871650493355744,0.122032489688993,0.000213872622551457,0.00605577483111772,3
"115","Hitmonlee",2.28927041422113e-13,3.07092211355086e-13,4.02398176821514e-07,0.0449232524384545,1.50609819751815e-05,0.955061284180858,6
"116","Hitmonchan",1.17473927138631e-12,1.26096026556133e-13,9.90994012080819e-07,0.0907661297857044,0.00306470746062799,0.906168171758355,6
"117","Lickitung",8.20934294574237e-05,0.00173498677880789,3.39693787084727e-17,0.610911275954352,0.381183106392854,0.00608853744452872,4
